,rms_spike,rms_lfp,gamma,alpha,beta,delta,theta,peaks,targets
0,0.106462480027,9.85917212763,23.5756481912,119.878515356,53.5066561724,53.3134777817,93.8573266373,27.0,nucleus accumbens
1,0.105720608614,8.98497158653,23.0731129189,101.58566761,48.9683430209,44.6838326876,78.6091537624,20.0,nucleus accumbens
2,0.106754334363,10.1908236696,24.0353421235,125.632370663,55.1696399636,56.6943587281,98.69377651,31.0,nucleus accumbens
3,0.0956145924747,9.3905578488,23.1333282496,110.594205708,51.0428361661,49.4115834981,86.3541606551,26.0,nucleus accumbens
4,0.103743126408,8.45356164951,21.6126031662,95.2859137394,45.893032381,42.7150322834,73.9002203113,22.0,nucleus accumbens
5,0.11656433537,9.19956614977,22.7669591419,106.761755896,50.0593767109,47.904081648,83.3124732548,17.0,nucleus accumbens
6,0.104067846151,9.34746785245,22.1926515039,111.788921337,51.4576509429,50.8191639102,87.4867949578,26.0,nucleus accumbens
7,0.105680387914,8.89268795021,21.6378622541,104.13539149,48.2183468683,46.4293219594,81.148239855,22.0,nucleus accumbens
8,0.0968947146146,9.19231675446,21.3425974381,112.093293496,50.6121735723,50.4087935801,87.7340384923,19.0,nucleus accumbens
9,0.105883861522,9.31202183584,22.0588883878,112.850188139,51.1326257226,50.6233445526,88.4131822241,39.0,nucleus accumbens
10,0.1019479751,10.0237687962,22.076349459,128.15580667,55.1346533257,58.6038360639,101.312468321,23.0,nucleus accumbens
11,0.108883886566,9.66793288302,22.133710051,121.045341707,53.4206479681,53.9136998726,94.7912932516,26.0,nucleus accumbens
12,0.0984916261511,9.41848866559,21.5757404315,117.918447434,51.7285090616,53.4858766917,92.9672936336,30.0,nucleus accumbens
13,0.0991033997327,9.42777720787,21.7455710364,117.247803041,52.2245606474,51.7208511955,91.4595392036,30.0,nucleus accumbens
14,0.0965569496017,8.49783870672,20.158139096,101.248876496,46.8026438262,46.6839495082,79.559266248,29.0,nucleus accumbens
15,0.0969237666505,9.28328183627,22.2172834529,114.220348116,51.0051648349,51.6455884282,89.5932937648,28.0,nucleus accumbens
16,0.0921728373132,9.4346268704,21.495027391,119.202039727,52.016146678,54.3336956595,94.0296087103,26.0,nucleus accumbens
17,0.104025768019,8.35653279214,20.4150427882,98.424781807,46.1777652161,43.7536718653,76.3597047179,22.0,nucleus accumbens
18,0.0954479362214,9.03824383086,20.3452682287,115.152709803,49.9994461998,51.6793901228,90.5737441251,23.0,nucleus accumbens
19,0.0904386540053,9.13142388489,20.8636969076,115.180315678,50.3821574806,51.5706268541,90.4308965105,27.0,nucleus accumbens
20,0.0955545199811,9.38135700952,20.8546602111,122.247477204,51.3025476954,54.9251650608,96.5439915604,21.0,nucleus accumbens
21,0.103696412636,7.07637771364,18.9350554075,77.3786984808,38.225190586,33.7139872454,59.5104404743,28.0,caudate putamen
22,0.104367180249,9.10250554576,20.4447261689,116.40771707,49.6005885403,52.3155811961,91.6017863855,21.0,caudate putamen
23,0.0982268403285,9.09688843812,20.6170277421,116.55617003,49.5954710653,52.2978210308,91.8368398131,20.0,caudate putamen
